,alpha,K = 2,K = 3,K = 4,K = 5
0,0.1,1.8083994828854746,0.4701772245753958,0.209646247522641,0.11551940297064164
1,0.5,1.222330867113175,0.3110202137674546,0.13058329408046448,0.05640769935160526
2,1.0,0.8460841928854919,0.2069016633997283,0.08121646369288955,0.03342411041373149
3,5.0,0.28004684225951476,0.0706293982705141,0.03476499754954427,0.021815703353934453
4,10.0,0.242606211259749,0.06678994481178616,0.03835948024283094,0.02405878100763677
5,50.0,0.25601500851841563,0.08189237573006836,0.04949634675035408,0.027713897012005575
6,100.0,0.2663339662818446,0.08558504052089294,0.052381247280532846,0.028277581111069844
